,Unnamed: 0,Unnamed: 0.1,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
0,4.0,8.0,169.0,杭州市余杭区英才新明半岛幼儿园,余杭区中泰街道新明半岛商住区内,119.951239,30.245973,杭州市,余杭区,中泰街道,幼儿园,330110.0,学前教育,,01010000208A11000080EB8A19E1FC5D40F0B22616F83E3E40,119.952012,30.240742,英才新明半岛幼儿园
1,13.0,21.0,406.0,杭州市余杭区肯思幼儿园,余杭区中泰街道国文路1号,119.9147569,30.24770264,杭州市,余杭区,中泰街道,幼儿园,330110.0,学前教育,,01010000208A11000090C1A9608BFA5D40400CA570693F3E40,119.918455,30.24518,杭州市余杭区肯思幼儿园
2,16.0,25.0,545.0,义乌市北苑街道时代花园优幼幼稚园,丹溪社区居委会,120.053927,29.324774,金华市,义乌市,北苑街道,幼儿园,330781.0,学前教育,,01010000208A110000C8573B8A73035E4050978C6324533D40,120.058769,29.321569,义乌市北苑街道时代花园幼稚园
3,19.0,33.0,738.0,杭州云谷学校,杭州市西湖区蒋村街道春申街,120.0516391,30.28340494,杭州市,西湖区,蒋村街道,九年一贯制学校,330106.0,中等教育,,01010000208A110000388CEB0D4E035E40A087E0398D483E40,120.105549,30.255896,杭州云谷幼儿园
4,24.0,41.0,876.0,杭州市余杭区七贤郡幼儿园,余杭区良渚街道文化村南区七贤郡,120.0018853,30.34977911,杭州市,余杭区,良渚街道,幼儿园,330110.0,学前教育,,01010000208A110000708D4CE31E005E40A0FAA91F8B593E40,120.00633,30.347166,七贤郡幼儿园
5,38.0,68.0,1291.0,义乌市江东街道南苑幼儿园,江东街道江南四区71栋,120.0693157,29.28603194,金华市,义乌市,江东街道,幼儿园,330206.0,学前教育,,01010000208A11000060BD26AB6F045E40D09D9F6339493D40,120.088012,29.265382,江东街道青岩傅学校
6,42.0,72.0,1336.0,义乌宋庆龄幼儿园,浙江省稠江街道西江路与童店路交叉口,120.0504687,29.2831756,金华市,义乌市,稠江街道,幼儿园,330109.0,学前教育,,01010000208A11000090C50EE13A035E40F02328327E483D40,120.054014,29.281203,宋庆龄幼儿园
7,43.0,74.0,1355.0,义乌市廿三里街道何宅幼儿园,义乌市廿三里街道何宅村,120.1854641,29.31173635,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A1100001059E4A4DE0B5E40E0BFFEF3CD4F3D40,120.190343,29.309119,廿三里街道何宅小学
8,53.0,85.0,1634.0,宁波市海曙区古林镇中心初级中学,宁波市海曙区古林镇育华路1号,121.4927963,29.8623315,宁波市,海曙区,古林镇,初级中学,330203.0,中等教育,,01010000208A11000058A778F9895F5E4080A1C5C1C1DC3D40,121.497431,29.859715,宁波市海曙区古林镇中心初级中学
9,59.0,92.0,1691.0,杭州市余杭区良渚西塘雅苑幼儿园,杭州市余杭区良渚街道莫干山路西塘花苑小区2-1,120.0835131,30.35031773,杭州市,余杭区,良渚街道,幼儿园,330110.0,学前教育,,01010000208A110000C8B0594758055E4020BD4A6CAE593E40,120.08127,30.354694,良渚西塘雅苑幼儿园北园
10,66.0,106.0,1890.0,宁波市海曙区横街镇中心初级中学,宁波市海曙区横街镇育才路1号,121.3965926,29.8545369,宁波市,海曙区,横街镇,初级中学,330203.0,中等教育,,01010000208A110000E00DC7C561595E40204011EEC2DA3D40,121.402035,29.852804,横街镇中心初级中学
11,95.0,149.0,2633.0,杭州市余杭区闲林和睦小学,杭州市余杭区闲林街道良睦路蒋家桥,120.0035829,30.24227494,杭州市,余杭区,闲林街道,小学,330110.0,初等教育,,01010000208A11000080868AB33A005E40C0F0FFBA053E3E40,120.006435,30.244546,闲林和睦小学
12,96.0,151.0,2701.0,宁波市四明职业高级中学,宁波市海曙区章水镇蜜岩,121.2723442,29.82766143,宁波市,海曙区,章水镇,职业高中学校,330203.0,中等教育,,01010000208A110000D85536166E515E4040E5A29EE1D33D40,121.277947,29.826076,四明职业高级中学
13,101.0,157.0,2777.0,杭州市西湖区小和山幼儿园,杭州市西湖区留和路翰墨香林小区,120.0111928,30.21146279,杭州市,西湖区,留下街道,幼儿园,330106.0,学前教育,,01010000208A11000078B50462B7005E40F0C7DE6C22363E40,120.104693,30.269195,小和山幼儿园
14,102.0,158.0,2801.0,义乌市北苑小学,义乌市北苑街道拥军路209号,120.0413712,29.33940263,金华市,义乌市,北苑街道,小学,330782.0,初等教育,,01010000208A110000480B68D3A5025E40C06F3317E3563D40,120.046889,29.336877,义乌市北苑小学
